feature,importance
jerk_energy,1.6030575904878204
gyro_p95,1.4136424634430618
accel_p75,1.4096716029316398
gyro_energy,1.2414803062495798
accel_energy,1.1602145851100747
gyro_std,1.1592942454081248
motion_energy,1.1576462344059457
jerk_rms,0.94354543295754
accel_rms,0.9312489991320239
gyro_p90,0.8582821305110447
accel_p95,0.8480638940015902
gyro_peak_count,0.757059642802487
accel_std,0.7567680858665996
motion_rms,0.7320734648129447
motion_max,0.6828180065980162
accel_peak_count,0.6704207417146907
gyro_max,0.6560858747333358
gyro_rms,0.5410931255590584
motion_std,0.5257148933645199
gyro_min,0.4981233231861321
accel_p50,0.4701437179535637
accel_max,0.4409879198134601
jerk_p90,0.4269897993642177
jerk_std,0.3219213806752427
jerk_mean,0.3207576714545382
jerk_max,0.31540175234091794
gyro_sma,0.30439622079770784
gyro_mean,0.30439622079770784
jerk_peak_count,0.29450841073822714
jerk_p95,0.20675169978656693
motion_mean,0.1519001236033701
accel_mean,0.1317577158543536
accel_sma,0.1317577158543536
accel_p90,0.06978063508357385
jerk_min,0.06940901798489686
accel_min,0.06895722489309707
