feature,importance
accel_p50,0.04345579781246009
jerk_mean,0.043222126389065064
jerk_p90,0.043065586773885035
gyro_mean,0.04127756384708859
gyro_min,0.039936094856362396
jerk_rms,0.03898255184266453
accel_mean,0.03845204457914182
gyro_p90,0.037482955027060894
jerk_p95,0.03744571829053729
gyro_sma,0.03729010183596518
gyro_rms,0.037209993259324635
jerk_energy,0.03470191673995892
motion_mean,0.03246756676470599
gyro_p95,0.032136922575940446
jerk_std,0.03212053478257814
jerk_peak_count,0.03200006569181645
accel_sma,0.03127729155318296
accel_p75,0.029641806405952046
gyro_std,0.02724606168153543
accel_std,0.025122925365249016
accel_rms,0.024790467696994698
accel_peak_count,0.024074127504234794
motion_std,0.023911533976274834
gyro_energy,0.02370486015108778
gyro_max,0.022553035272342665
accel_p95,0.021326414583517004
jerk_max,0.020137574521085465
accel_energy,0.01968075320011706
motion_rms,0.018936054277560396
accel_p90,0.01696956470412057
motion_energy,0.014452650874884204
motion_max,0.014169589155456441
accel_min,0.013997709386642455
accel_max,0.013791754216397606
jerk_min,0.0064885319375430775
gyro_peak_count,0.0064797524672660835
