label,feature,mean,std,median,p10,p90
AGGRESSIVE,accel_mean,1.8952871296655671,0.6134340874347586,1.8332038155112627,1.2779411514512435,2.6016434405024467
AGGRESSIVE,accel_std,1.0156986463833395,0.5502131882051633,0.8905793200156792,0.5952109734302634,1.5300984389130667
AGGRESSIVE,accel_min,0.22053478704849366,0.11914698087607078,0.20041194345814034,0.09238364197926865,0.3634149320674653
AGGRESSIVE,accel_max,6.425226487582408,4.495559207630381,5.194381172462357,3.387108202093853,10.49187912567915
AGGRESSIVE,accel_rms,2.164367358367219,0.7863249419147307,2.0552978928840124,1.4446726912587136,3.087945332495879
AGGRESSIVE,accel_p50,1.7149397254074406,0.5287032361962523,1.6751765571883843,1.1585142671868867,2.3442346654529675
AGGRESSIVE,accel_p75,2.393798119024457,0.7814565170108646,2.328559409295372,1.6277644131381708,3.2682389783682297
AGGRESSIVE,accel_p90,3.1779112033318064,1.1824999225716193,3.0126322399777252,2.1147713030081934,4.472642782568938
AGGRESSIVE,accel_p95,3.77132084927385,1.6087693897452748,3.465941441087872,2.3734767866449262,5.525989926961886
AGGRESSIVE,accel_energy,5.3027929762426975,5.028956149489697,4.2242494284934615,2.0870807202929185,9.53543152446306
AGGRESSIVE,accel_peak_count,67.24211853720051,47.403496091170815,60.0,12.0,135.0
AGGRESSIVE,accel_sma,1.8952871296655671,0.6134340874347586,1.8332038155112627,1.2779411514512435,2.6016434405024467
AGGRESSIVE,jerk_mean,68.11420995747993,23.511533698007756,67.21569615986095,41.27032744076057,95.65573296903575
AGGRESSIVE,jerk_std,60.29115988693024,33.69432997905104,54.82171315559448,34.31345309059602,82.59811051013766
AGGRESSIVE,jerk_min,0.327464076158255,0.35623383797453123,0.20975295912835343,0.024509235013005504,0.8078493751221002
AGGRESSIVE,jerk_max,372.1506481080229,334.9731188717191,302.6840465268186,175.3492381550416,497.3982998899563
AGGRESSIVE,jerk_rms,91.64568374263897,39.544131038081716,87.72115113905402,54.49289854058775,127.06669743322493
AGGRESSIVE,jerk_p90,143.52266975810755,51.086862332350904,140.50182730146335,86.62540918318534,201.0210302748702
